FIELD,meanImp,medianImp,minImp,maxImp,normHits,decision,type,index,TARGET_10A00,TARGET_10B00,TARGET_10C00,TARGET_10G00_10J00,TARGET_10H00,TARGET_10L00,TARGET_10N00,MAX ABS CORR,FINAL
OI_DIGITAL_COVERAGE_SALES_LEAD_COMP_SUM_C,41.5,41.1,39.4,44.4,1,Tentative,PIPE COMP,3,0%,1%,-1%,2%,1%,-1%,-3%,3%,KEEP
SEC_RES_MANAGE_SVC_20G90_LEAD_COMP_SUM_C_FLG,40.0,40.4,37.1,42.3,1,Confirmed,FLG,FLG,-1%,-2%,-4%,6%,1%,-1%,0%,6%,KEEP
UT20_OFFER_20A0O_COMP_CNT_1YR,39.1,39.3,35.6,44.4,1,Tentative,OFFER,1,4%,-1%,-2%,0%,1%,1%,-3%,4%,KEEP
CHN_NM_EV_COMP_CNT_1YR,38.2,38.9,30.3,41.6,1,Tentative,CHANNEL,0,2%,-3%,-1%,4%,1%,-1%,-4%,4%,DROP
STOR_NETW_20C0F_LEAD_COMP_SUM_C_FLG,39.0,38.9,37.2,41.3,1,Confirmed,FLG,FLG,-5%,-5%,10%,3%,1%,-2%,-6%,10%,KEEP
OO_FS_COMP_YIELD_C,39.0,38.5,36.8,43.1,1,Tentative,PIPE COMP,3,-6%,1%,-9%,11%,5%,0%,0%,11%,KEEP
ENTR_CLD_STRAT_20JHE_LEAD_COMP_SUM_C_FLG,38.3,38.3,35.1,41.3,1,Confirmed,FLG,FLG,-2%,-3%,-6%,13%,0%,-2%,-4%,13%,KEEP
COMP_TECH_20C02_LEAD_COMP_SUM_C_FLG,37.8,37.9,34.4,41.4,1,Confirmed,FLG,FLG,-1%,-3%,2%,3%,2%,-1%,-3%,3%,DROP
INTR_CDPCOMP_CNT,37.6,37.8,35.4,39.5,1,Tentative,INTR,0,2%,0%,-2%,0%,1%,1%,-2%,2%,DROP
WAT_MRKT_15WCG_LEAD_COMP_SUM_C_FLG,38.0,37.6,36.1,41.0,1,Confirmed,FLG,FLG,0%,0%,-2%,3%,2%,0%,-3%,3%,DROP
Z_IT_MGMT_20C05_LEAD_COMP_SUM_C_FLG,37.2,37.5,33.7,39.1,1,Confirmed,FLG,FLG,0%,-3%,3%,2%,1%,-1%,-3%,3%,DROP
OI_MARKETING_LEAD_COMP_SUM_C,36.8,37.3,35.0,37.6,1,Tentative,PIPE COMP,3,1%,0%,-1%,2%,0%,2%,-3%,3%,KEEP
OO_TC_LEAD_COMP_SUM_C_FLG,36.8,36.5,35.4,39.9,1,Confirmed,FLG,FLG,2%,-1%,-1%,1%,-1%,0%,0%,2%,DROP
INFR_SVC_15ISS_LEAD_COMP_SUM_C,34.9,35.4,31.5,36.6,1,Tentative,PIPE COMP,3,-1%,-3%,-7%,10%,2%,-1%,-2%,10%,DROP
CLOUD_SEC_RES_20G7C_LEAD_COMP_SUM_C_FLG,35.3,35.3,31.4,39.8,1,Confirmed,FLG,FLG,-1%,-2%,-5%,7%,1%,-1%,-1%,7%,KEEP
Z_OS_20C09_LEAD_COMP_SUM_C_FLG,35.2,35.1,32.4,38.4,1,Confirmed,FLG,FLG,-1%,-2%,3%,2%,0%,-1%,-3%,3%,DROP
UT10_OFFER_CNDP_INDIV_CNT_1YR,34.3,34.5,31.6,38.8,1,Tentative,OFFER,1,2%,-4%,2%,0%,1%,-1%,-3%,4%,DROP
DAS_20B1J_LEAD_COMP_SUM_C_FLG,33.9,33.7,31.3,37.1,1,Confirmed,FLG,FLG,-2%,-2%,-4%,7%,0%,-1%,1%,7%,KEEP
COGAPP_10B00_LEAD_COMP_SUM_C,33.5,33.7,31.5,34.7,1,Tentative,PIPE COMP,2,-2%,15%,-7%,4%,1%,0%,-6%,15%,KEEP
